# z_relative(A)  P(0)  FreeEnergy(kJ/mol)  empty_counts  total_counts
-0.517247 1.000000 -0.000000 3786393.000000 3786393.000000
-0.417247 1.000000 -0.000000 3786393.000000 3786393.000000
-0.317247 1.000000 -0.000000 3786393.000000 3786393.000000
-0.217247 1.000000 -0.000000 3786393.000000 3786393.000000
-0.117247 1.000000 -0.000000 3786393.000000 3786393.000000
-0.017247 1.000000 -0.000000 3786393.000000 3786393.000000
0.082753 1.000000 -0.000000 3786393.000000 3786393.000000
0.182753 1.000000 -0.000000 3786393.000000 3786393.000000
0.282753 1.000000 -0.000000 3786393.000000 3786393.000000
0.382753 1.000000 -0.000000 3786393.000000 3786393.000000
0.482753 1.000000 -0.000000 3786393.000000 3786393.000000
0.582753 0.999991 0.000022 3786359.000000 3786393.000000
0.682753 0.999891 0.000271 3785979.000000 3786393.000000
0.782753 0.999505 0.001227 3784520.000000 3786393.000000
0.882753 0.998932 0.002648 3782351.000000 3786393.000000
0.982753 0.998447 0.003854 3780511.000000 3786393.000000
1.082753 0.997891 0.005233 3778408.000000 3786393.000000
1.182753 0.997317 0.006659 3776236.000000 3786393.000000
1.282753 0.996768 0.008025 3774156.000000 3786393.000000
1.382753 0.996268 0.009269 3772262.000000 3786393.000000
1.482753 0.995844 0.010325 3770656.000000 3786393.000000
1.582753 0.995444 0.011319 3769144.000000 3786393.000000
1.682753 0.994809 0.012902 3766738.000000 3786393.000000
1.782753 0.994021 0.014865 3763756.000000 3786393.000000
1.882753 0.992895 0.017676 3759491.000000 3786393.000000
1.982753 0.991142 0.022056 3752854.000000 3786393.000000
2.082753 0.988937 0.027578 3744503.000000 3786393.000000
2.182753 0.985880 0.035251 3732931.000000 3786393.000000
2.282753 0.982645 0.043399 3720681.000000 3786393.000000
2.382753 0.978896 0.052876 3706485.000000 3786393.000000
2.482753 0.974950 0.062889 3691543.000000 3786393.000000
2.582753 0.970835 0.073373 3675964.000000 3786393.000000
2.682753 0.966035 0.085662 3657787.000000 3786393.000000
2.782753 0.960184 0.100721 3635634.000000 3786393.000000
2.882753 0.952222 0.121362 3605488.000000 3786393.000000
2.982753 0.940681 0.151590 3561789.000000 3786393.000000
3.082753 0.924334 0.195050 3499890.000000 3786393.000000
3.182753 0.901764 0.256330 3414433.000000 3786393.000000
3.282753 0.873441 0.335441 3307189.000000 3786393.000000
3.382753 0.839499 0.433693 3178674.000000 3786393.000000
3.482753 0.801264 0.549248 3033902.000000 3786393.000000
3.582753 0.759782 0.681028 2876834.000000 3786393.000000
